Date & Time Last update,First Contract Name,Status
1/8/2025 10:57 am,BRUXELLES-CAPITALE,CLOSED
10/10/2022 11:17 am,MARSEILLE,OPEN
10/10/2022 11:58 am,MARSEILLE,OPEN
10/10/2022 12:40 pm,MARSEILLE,OPEN
10/5/2023 1:06 am,LYON,OPEN
10/6/2025 1:11 am,CERGY-PONTOISE,CLOSED
10/6/2025 12:11 pm,CERGY-PONTOISE,CLOSED
10/9/2024 3:16 am,TOULOUSE,CLOSED
11/10/2022 11:40 am,MARSEILLE,OPEN
11/3/2025 1:59 am,BRUXELLES-CAPITALE,OPEN
11/6/2025 12:34 pm,AMIENS,OPEN
11/6/2025 4:23 am,CERGY-PONTOISE,CLOSED
11/6/2025 4:28 am,CERGY-PONTOISE,CLOSED
11/6/2025 5:35 am,CERGY-PONTOISE,CLOSED
11/6/2025 6:08 am,CERGY-PONTOISE,CLOSED
11/6/2025 6:11 am,CERGY-PONTOISE,CLOSED
11/6/2025 6:12 am,CERGY-PONTOISE,CLOSED
11/6/2025 6:13 am,CERGY-PONTOISE,CLOSED
11/6/2025 6:15 am,CERGY-PONTOISE,CLOSED
11/6/2025 6:16 am,CERGY-PONTOISE,CLOSED
11/6/2025 6:18 am,CERGY-PONTOISE,CLOSED
11/7/2024 1:40 am,LYON,OPEN
12/11/2025 1:25 am,AMIENS,OPEN
12/11/2025 12:28 pm,TOULOUSE,OPEN
12/11/2025 2:12 am,LYON,OPEN
12/11/2025 2:45 am,LYON,OPEN
12/11/2025 2:47 am,LYON,CLOSED
12/11/2025 2:47 am,BRUXELLES-CAPITALE,OPEN
12/11/2025 2:48 am,BRUXELLES-CAPITALE,OPEN
12/11/2025 2:49 am,LYON,CLOSED
12/11/2025 2:49 am,BRUXELLES-CAPITALE,OPEN
12/11/2025 2:50 am,BRUXELLES-CAPITALE,OPEN
12/11/2025 2:51 am,BRUXELLES-CAPITALE,OPEN
12/11/2025 2:52 am,BRUXELLES-CAPITALE,OPEN
12/11/2025 2:53 am,BRUXELLES-CAPITALE,OPEN
12/11/2025 2:54 am,BRUXELLES-CAPITALE,OPEN
12/11/2025 2:55 am,NANTES,CLOSED
12/11/2025 2:55 am,BRUXELLES-CAPITALE,OPEN
12/11/2025 2:56 am,AMIENS,OPEN
12/11/2025 2:57 am,BRUXELLES-CAPITALE,OPEN
12/5/2023 12:30 pm,ROUEN,OPEN
12/5/2025 11:41 am,CERGY-PONTOISE,OPEN
12/6/2025 5:22 am,CERGY-PONTOISE,CLOSED
12/6/2025 7:07 am,CERGY-PONTOISE,CLOSED
12/9/2022 11:18 am,MARSEILLE,OPEN
12/9/2022 11:58 am,MARSEILLE,OPEN
13/5/2025 11:35 am,CERGY-PONTOISE,OPEN
13/6/2025 1:12 am,CERGY-PONTOISE,CLOSED
13/6/2025 12:42 pm,CERGY-PONTOISE,CLOSED
13/6/2025 5:50 am,CERGY-PONTOISE,CLOSED
13/6/2025 7:31 am,CERGY-PONTOISE,CLOSED
13/6/2025 7:33 am,CERGY-PONTOISE,CLOSED
13/6/2025 7:37 am,CERGY-PONTOISE,CLOSED
13/9/2022 11:15 am,MARSEILLE,OPEN
13/9/2022 11:24 am,MARSEILLE,OPEN
13/9/2022 11:28 am,MARSEILLE,OPEN
13/9/2022 3:41 am,MARSEILLE,OPEN
14/10/2025 2:50 am,LYON,OPEN
14/11/2022 1:25 am,MARSEILLE,OPEN
14/11/2022 12:48 pm,MARSEILLE,OPEN
14/11/2022 3:25 am,MARSEILLE,OPEN
14/11/2022 3:50 am,MARSEILLE,OPEN
14/11/2023 1:21 am,LYON,OPEN
14/2/2025 3:48 am,MULHOUSE,OPEN
14/9/2022 1:27 am,MARSEILLE,OPEN
15/11/2022 12:02 pm,MARSEILLE,OPEN
15/11/2022 3:44 am,MARSEILLE,OPEN
15/11/2023 8:20 am,LYON,OPEN
15/12/2022 12:17 pm,MARSEILLE,OPEN
15/12/2022 12:57 pm,MARSEILLE,OPEN
15/7/2025 11:37 am,NANTES,OPEN
15/9/2025 2:38 am,LYON,OPEN
15/9/2025 3:29 am,TOULOUSE,OPEN
16/12/2022 8:23 am,MARSEILLE,OPEN
16/12/2024 2:42 am,CERGY-PONTOISE,OPEN
16/9/2025 1:48 am,LYON,OPEN
17/10/2022 1:03 am,MARSEILLE,OPEN
17/10/2022 1:45 am,MARSEILLE,OPEN
17/10/2022 10:51 am,MARSEILLE,OPEN
17/10/2022 11:36 am,MARSEILLE,OPEN
17/10/2022 12:27 pm,MARSEILLE,OPEN
17/10/2025 12:38 pm,LYON,CLOSED
17/2/2025 6:32 am,MULHOUSE,OPEN
17/6/2024 4:11 am,LYON,OPEN
18/1/2022 9:58 am,LYON,OPEN
18/12/2023 1:49 am,SANTANDER,OPEN
18/6/2025 6:21 am,AMIENS,OPEN
19/10/2025 5:52 am,LYON,OPEN
19/12/2022 1:50 am,MARSEILLE,CLOSED
19/12/2022 12:52 pm,MARSEILLE,OPEN
19/12/2022 2:21 am,MARSEILLE,CLOSED
19/12/2022 3:14 am,MARSEILLE,CLOSED
19/12/2022 3:18 am,MARSEILLE,CLOSED
19/12/2022 3:38 am,MARSEILLE,CLOSED
19/12/2022 3:39 am,MARSEILLE,CLOSED
19/12/2022 3:43 am,MARSEILLE,CLOSED
19/12/2022 4:04 am,MARSEILLE,CLOSED
19/12/2022 4:14 am,MARSEILLE,CLOSED
19/12/2022 4:21 am,MARSEILLE,CLOSED
19/12/2022 4:31 am,MARSEILLE,CLOSED
19/12/2022 4:32 am,MARSEILLE,CLOSED
19/12/2022 4:50 am,MARSEILLE,CLOSED
19/12/2022 4:54 am,MARSEILLE,CLOSED
